NAME_2,NAME_0,NAME_1,VARNAME_2,NL_NAME_1,NL_NAME_2,HASC_2,TYPE_2,CC_2,GID_0,GID_1,GID_2,ENGTYPE_2,cases
"Barguna","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1004","BGD","BGD.1_1","BGD.1.1_1","Distict",0.14
"Barisal","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1006","BGD","BGD.1_1","BGD.1.2_1","Distict",0.32
"Bhola","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1009","BGD","BGD.1_1","BGD.1.3_1","Distict",0.13
"Jhalokati","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1042","BGD","BGD.1_1","BGD.1.4_1","Distict",0.07
"Patuakhali","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1078","BGD","BGD.1_1","BGD.1.5_1","Distict",0.16
"Pirojpur","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1079","BGD","BGD.1_1","BGD.1.6_1","Distict",0.07
"Bandarban","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2003","BGD","BGD.2_1","BGD.2.1_1","Distict",0.09
"Brahamanbaria","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2012","BGD","BGD.2_1","BGD.2.2_1","Distict",0.34
"Chandpur","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2013","BGD","BGD.2_1","BGD.2.3_1","Distict",0.45
"Chittagong","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2015","BGD","BGD.2_1","BGD.2.4_1","Distict",5.45
"Comilla","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2019","BGD","BGD.2_1","BGD.2.5_1","Distict",2.11
"Cox'S Bazar","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2022","BGD","BGD.2_1","BGD.2.6_1","Distict",1.7
"Feni","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2030","BGD","BGD.2_1","BGD.2.7_1","Distict",0.51
"Khagrachhari","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2046","BGD","BGD.2_1","BGD.2.8_1","Distict",0.08
"Lakshmipur","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2051","BGD","BGD.2_1","BGD.2.9_1","Distict",0.25
"Noakhali","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2075","BGD","BGD.2_1","BGD.2.10_1","Distict",1.51
"Rangamati","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2084","BGD","BGD.2_1","BGD.2.11_1","Distict",0.12
"Dhaka","Bangladesh","Dhaka","Daca|Dacca","","","BD.DH.DH","Zila","3026","BGD","BGD.3_1","BGD.3.1_1","Distict",36.22
"Faridpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3029","BGD","BGD.3_1","BGD.3.2_1","Distict",0.74
"Gazipur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3033","BGD","BGD.3_1","BGD.3.3_1","Distict",2.04
"Gopalganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3035","BGD","BGD.3_1","BGD.3.4_1","Distict",0.55
"Jamalpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3039","BGD","BGD.3_1","BGD.3.5_1","Distict",0.54
"Kishoreganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3048","BGD","BGD.3_1","BGD.3.6_1","Distict",0.63
"Madaripur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3054","BGD","BGD.3_1","BGD.3.7_1","Distict",0.39
"Manikganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3056","BGD","BGD.3_1","BGD.3.8_1","Distict",0.29
"Munshiganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3059","BGD","BGD.3_1","BGD.3.9_1","Distict",1.98
"Mymensingh","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3061","BGD","BGD.3_1","BGD.3.10_1","Distict",1.08
"Narayanganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3067","BGD","BGD.3_1","BGD.3.11_1","Distict",4.7
"Narsingdi","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3068","BGD","BGD.3_1","BGD.3.12_1","Distict",0.34
"Netrakona","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3072","BGD","BGD.3_1","BGD.3.13_1","Distict",0.48
"Rajbari","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3082","BGD","BGD.3_1","BGD.3.14_1","Distict",0.18
"Shariatpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3086","BGD","BGD.3_1","BGD.3.15_1","Distict",0.28
